/var/spool/slurmd/job23140310/slurm_script: line 9: source: /home/gridsan/jsass/.conda/envs/openmm_env: is a directory
#"Step","Potential Energy (kJ/mole)","Temperature (K)"
100000,-1015910.4813791178,300.4227516413637
200000,-1015769.9813791178,300.56634923821304
300000,-1015367.2313791178,298.3932116815358
400000,-1016321.4813791178,301.64496084147083
500000,-1015170.7313791178,298.3542556813581
600000,-1016869.2313791178,300.9850417316542
700000,-1015704.4813791178,300.17640216608515
800000,-1016354.7313791178,301.04805301437443
900000,-1015715.2313791178,298.9151202387589
1000000,-1017436.7313791178,299.74434484130387
1100000,-1017678.9813791178,299.93907802232627
1200000,-1014719.4813791178,302.924539937095
1300000,-1017155.2313791178,299.2501107118678
1400000,-1017032.2313791178,300.226693652391
1500000,-1014682.2313791178,297.93654878701545
1600000,-1016643.2313791178,298.53505347732715
1700000,-1017583.2313791178,302.1386741018244
1800000,-1016360.7313791178,301.04868523044803
1900000,-1015781.4813791178,301.99703443908055
2000000,-1015413.7313791178,298.7881645219375
2100000,-1016787.4813791178,299.5942902287563
2200000,-1017121.7313791178,300.5256169911749
2300000,-1017369.7313791178,300.12550404956716
2400000,-1016771.2313791178,297.60085077998554
2500000,-1014296.2313791178,301.0764691680151
2600000,-1016977.7313791178,300.28611668752944
2700000,-1016902.9813791178,300.6529274912296
2800000,-1015161.7313791178,300.45757068738226
2900000,-1015085.7313791178,300.8667196493267
3000000,-1017655.7313791178,298.97297282515393
3100000,-1015089.7313791178,301.05237503923667
3200000,-1016287.7313791178,300.0927582958065
3300000,-1015528.2313791178,299.6181550716157
3400000,-1017103.2313791178,299.3101565162968
3500000,-1016984.2313791178,300.7152015311974
3600000,-1017544.7313791178,297.5513333931707
3700000,-1016286.9813791178,300.9595666353739
3800000,-1016482.2313791178,297.8380458300758
3900000,-1016781.9813791178,299.49192198422185
4000000,-1015716.7313791178,301.15822867648563
4100000,-1017879.9813791178,299.9867553987635
4200000,-1016903.2313791178,299.68348620920597
4300000,-1015106.2313791178,299.16964618848345
4400000,-1018460.7313791178,298.32255933456764
4500000,-1016812.9813791178,298.2145501164842
4600000,-1017820.4813791178,302.2541731833105
4700000,-1016894.9813791178,299.15614576415186
4800000,-1017656.9813791178,301.5150668736103
4900000,-1018666.2313791178,300.3348174333876
5000000,-1014690.9813791178,300.29560878337094
5100000,-1017205.2313791178,299.673999977539
5200000,-1016101.9813791178,300.02173837383424
5300000,-1017801.4813791178,300.28345978645
5400000,-1015599.7313791178,301.52375982961036
5500000,-1015766.4813791178,297.84355017111466
5600000,-1015148.7313791178,300.19524290013715
5700000,-1015785.9813791178,299.3473419738991
5800000,-1015793.2313791178,300.8486485512955
5900000,-1015730.9813791178,300.8385681610691
6000000,-1016700.7313791178,299.96118866287213
6100000,-1016099.9813791178,297.4733417359615
6200000,-1018013.7313791178,299.807921566777
6300000,-1016709.2313791178,299.6808722199262
6400000,-1017865.4813791178,299.98089120805224
6500000,-1017240.2313791178,301.13714152776333
6600000,-1017032.2313791178,299.8971214619081
6700000,-1017146.7313791178,298.4555673884236
6800000,-1017631.9813791178,301.7774328157551
6900000,-1015636.7313791178,301.5296079839498
7000000,-1017847.2313791178,299.5210044917554
7100000,-1018260.7313791178,300.34939207470086
7200000,-1017257.7313791178,302.51815734476213
7300000,-1016387.2313791178,299.2430090865909
7400000,-1017202.9813791178,300.7622436721736
7500000,-1016392.7313791178,299.96826321876887
7600000,-1018771.7313791178,301.25968920176007
7700000,-1014788.7313791178,301.7415943753051
7800000,-1019298.7313791178,300.34090815779797
7900000,-1018304.7313791178,300.39315347671374
8000000,-1016336.9813791178,299.38368449873263
8100000,-1017747.2313791178,297.45549108017184
8200000,-1017973.9813791178,300.9051190729743
8300000,-1017049.2313791178,299.009189684318
8400000,-1016264.7313791178,301.0065599435526
8500000,-1016740.4813791178,299.9795582288184
8600000,-1017051.7313791178,300.8556219533373
8700000,-1017872.2313791178,300.2813426194056
8800000,-1016724.9813791178,297.61745177052967
8900000,-1017938.2313791178,298.54886588634326
9000000,-1015123.7313791178,300.0570046591078
9100000,-1015208.7313791178,300.7063066260682
9200000,-1016818.2313791178,301.6941619540852
9300000,-1015600.2313791178,298.87144123346764
9400000,-1015338.4813791178,298.31734023552997
9500000,-1016490.2313791178,299.78331777387507
9600000,-1017242.9813791178,300.3793679733369
9700000,-1015412.2313791178,299.19774145696334
9800000,-1017559.9813791178,299.7322117850047
9900000,-1016135.9813791178,299.6737906632058
10000000,-1017771.2313791178,300.2292236700972
10100000,-1018465.7313791178,300.05251464484974
10200000,-1017574.2313791178,299.1775631586747
10300000,-1016803.4813791178,301.4220111506536
10400000,-1016019.7313791178,299.3393498660903
10500000,-1014673.2313791178,299.24651914191844
10600000,-1016592.9813791178,302.0769014533473
10700000,-1016966.4813791178,301.76459994085207
10800000,-1016026.4813791178,297.9469555392286
10900000,-1016272.9813791178,301.8550403561203
11000000,-1017444.7313791178,300.4711954237056
11100000,-1015462.7313791178,300.01495475805683
11200000,-1015098.9813791178,301.5383751759536
11300000,-1016232.9813791178,300.80829433621875
11400000,-1018247.2313791178,300.8427773602305
11500000,-1019094.9813791178,298.66712800039426
11600000,-1013963.7313791178,299.4725329656119
11700000,-1016010.2313791178,300.03288614994455
11800000,-1015854.9813791178,299.6365761591954
11900000,-1017878.2313791178,300.90364683473484
12000000,-1016487.2313791178,302.21364048499953
12100000,-1017162.4813791178,299.7736995456179
12200000,-1016841.7313791178,301.6591967961627
12300000,-1016624.7313791178,300.2171217942148
12400000,-1017318.4813791178,298.6312645207203
12500000,-1017546.7313791178,299.4590565862085
12600000,-1016967.9813791178,299.2110415377055
12700000,-1017827.7313791178,298.3688196747995
12800000,-1016421.2313791178,300.6620253335171
12900000,-1019233.9813791178,301.0438143167303
13000000,-1015597.7313791178,299.2753556942688
13100000,-1014673.2313791178,299.4206718459303
13200000,-1017286.7313791178,298.3437156649441
13300000,-1017222.4813791178,300.8975258857034
13400000,-1016855.2313791178,301.6043642761712
13500000,-1017275.4813791178,297.8950812009753
13600000,-1017557.7313791178,301.7388433654609
13700000,-1016746.4813791178,300.35673034312555
13800000,-1016619.4813791178,299.03386158889447
13900000,-1018529.7313791178,299.11628223570887
14000000,-1016781.9813791178,302.1660133225185
14100000,-1015313.7313791178,300.1979242175334
14200000,-1016763.2313791178,299.88105426354144
14300000,-1017697.9813791178,298.92049035550997
14400000,-1015548.9813791178,297.9990256069848
14500000,-1016441.9813791178,300.92126158657595
14600000,-1017546.7313791178,298.7494361227002
14700000,-1014964.9813791178,300.52921659956064
14800000,-1014197.4813791178,298.0171313436677
14900000,-1017487.7313791178,298.4067656846543
15000000,-1017179.7313791178,300.6132549699698
15100000,-1016671.9813791178,300.94550368566763
15200000,-1015912.7313791178,299.85014535878224
15300000,-1017948.2313791178,299.97287201734576
15400000,-1017653.2313791178,300.7779649849277
15500000,-1016640.7313791178,299.66956809664305
15600000,-1017333.7313791178,298.7972215222733
15700000,-1016647.7313791178,300.8554480897794
15800000,-1017216.7313791178,301.9004921498257
15900000,-1017139.9813791178,298.8336047286604
16000000,-1014781.2313791178,301.37112450236384
16100000,-1017904.7313791178,300.69697900349973
16200000,-1017204.7313791178,299.6710938796901
16300000,-1016944.7313791178,297.1130823644035
16400000,-1016725.2313791178,298.51366217950294
16500000,-1016555.9813791178,300.1889530953602
16600000,-1015795.2313791178,299.65101324336035
16700000,-1017845.4813791178,299.9839117563877
16800000,-1016634.7313791178,298.8161376265233
16900000,-1017194.2313791178,299.25306735680147
17000000,-1016571.4813791178,300.76085628874455
17100000,-1017234.4813791178,300.4168401932001
17200000,-1019216.2313791178,300.0053853689172
17300000,-1018165.2313791178,298.85572073645164
17400000,-1016596.4813791178,302.22792470442266
17500000,-1016941.7313791178,303.83273227216966
17600000,-1017319.2313791178,303.7616036181609
17700000,-1016770.7313791178,299.4686063445685
17800000,-1017478.2313791178,301.2321286721695
17900000,-1016682.2313791178,298.44965010621667
18000000,-1015288.7313791178,297.1299326654736
18100000,-1017097.7313791178,301.3979284668889
18200000,-1017025.4813791178,300.4905936161664
18300000,-1017411.7313791178,300.78273614487733
18400000,-1017224.9813791178,299.24430764383834
18500000,-1017311.7313791178,298.7715963050875
18600000,-1017225.9813791178,300.0434424554772
18700000,-1017289.4813791178,299.46270471992756
18800000,-1017128.2313791178,299.6685119056923
18900000,-1016093.7313791178,298.2018216125673
19000000,-1017619.9813791178,301.2241460718698
19100000,-1016915.9813791178,299.8049508717685
19200000,-1016916.7313791178,300.8901450717939
19300000,-1017161.2313791178,301.61783569412626
19400000,-1017168.4813791178,301.8123353438538
19500000,-1017225.7313791178,300.17346155336895
19600000,-1016685.2313791178,299.83651064984235
19700000,-1015855.4813791178,300.04161277687905
19800000,-1018647.7313791178,298.91412402906826
19900000,-1016964.7313791178,300.1175918998685
20000000,-1017513.9813791178,299.1027239728337
20100000,-1015629.2313791178,302.63842589523983
20200000,-1016292.7313791178,300.21445119769345
20300000,-1016570.9813791178,300.8401418608544
20400000,-1018289.7313791178,301.38952737025147
20500000,-1016735.2313791178,300.93267789060764
20600000,-1017424.2313791178,300.17468664580457
20700000,-1018750.4813791178,301.4371841517643
20800000,-1016497.7313791178,299.2843097162836
20900000,-1017978.4813791178,301.116542765499
21000000,-1017030.7313791178,298.70672367060814
21100000,-1018309.9813791178,299.67489725291045
21200000,-1017287.2313791178,301.7061821030621
21300000,-1017700.9813791178,300.7221046003775
21400000,-1018690.4813791178,298.004872183443
