/var/spool/slurmd/job23148859/slurm_script: line 9: source: /home/gridsan/jsass/.conda/envs/openmm_env: is a directory
#"Step","Potential Energy (kJ/mole)","Temperature (K)"
100000,-860120.1022449359,298.0657810980488
200000,-861472.8522449359,297.88811153558663
300000,-863852.1022449359,299.44872209216027
400000,-863368.6022449359,300.33926368087765
500000,-862336.1022449359,300.1141239513992
600000,-861513.6022449359,301.5374339136932
700000,-863164.6022449359,300.3824252684337
800000,-862097.8522449359,302.29128597300723
900000,-861551.6022449359,300.78806455897296
1000000,-862141.6022449359,301.714821376294
1100000,-862702.1022449359,300.38902556670934
1200000,-862648.1022449359,301.9267127649322
1300000,-864179.1022449359,299.67828427229307
1400000,-864084.6022449359,299.38983360456166
1500000,-862875.6022449359,300.0078416370666
1600000,-863321.3522449359,300.49709170900377
1700000,-862878.1022449359,300.5853186184763
1800000,-862558.8522449359,299.9431978675605
1900000,-862043.3522449359,297.27910599141745
2000000,-863426.6022449359,299.74526507406
2100000,-862938.6022449359,299.51555963419503
2200000,-862367.8522449359,299.7069820076145
2300000,-860695.3522449359,300.3232720615828
2400000,-863370.1022449359,301.3292844447611
2500000,-862455.8522449359,299.236138888041
2600000,-862458.6022449359,299.21786313791864
2700000,-862531.1022449359,302.02607191197905
2800000,-861521.6022449359,299.5326570220892
2900000,-863079.6022449359,298.62974870817845
3000000,-862295.1022449359,300.54445356191644
3100000,-863335.3522449359,300.6418529444963
3200000,-860586.6022449359,300.2320113037166
3300000,-862758.3522449359,300.6096601876686
3400000,-861843.3522449359,302.3698201312579
3500000,-861806.8522449359,301.1129707651236
3600000,-862764.1022449359,300.68962150455826
3700000,-862611.1022449359,301.6491918455901
3800000,-862881.6022449359,302.3182907006087
3900000,-863471.6022449359,301.02759774205305
4000000,-863469.8522449359,300.4737266201629
4100000,-863769.8522449359,298.9929347597122
4200000,-864174.1022449359,298.30597528761723
4300000,-862465.1022449359,301.450405259179
4400000,-862579.1022449359,300.05055678590213
4500000,-862171.6022449359,297.4367364740779
4600000,-863286.1022449359,298.5253002372968
4700000,-862957.3522449359,301.18650046807574
4800000,-863308.6022449359,300.60694213915986
4900000,-861372.1022449359,299.77478925618715
5000000,-862051.8522449359,298.28684297414486
5100000,-863311.3522449359,301.746473879343
5200000,-862869.6022449359,300.02142143377614
5300000,-862776.1022449359,298.92824397834266
5400000,-863759.6022449359,300.5312214169164
5500000,-862834.8522449359,299.4611485580428
5600000,-863240.6022449359,302.22378374717596
5700000,-863911.8522449359,299.39956712095716
5800000,-862099.6022449359,299.2720741461812
5900000,-861857.3522449359,299.7698679928613
6000000,-862040.1022449359,301.02103607887744
6100000,-862969.3522449359,298.82827718127857
6200000,-861920.1022449359,300.99604183345804
6300000,-863603.8522449359,299.84832116932216
6400000,-863780.1022449359,299.7245841548501
6500000,-863357.8522449359,297.9920070085368
6600000,-862840.1022449359,299.06879821282297
6700000,-864967.1022449359,300.16082533519517
6800000,-864051.1022449359,300.2884019255347
6900000,-863996.6022449359,297.23442829452654
7000000,-863398.6022449359,300.06723296510876
7100000,-863924.1022449359,299.40620566228284
7200000,-862417.1022449359,299.2187774827848
7300000,-862642.8522449359,300.9639416104073
7400000,-862696.1022449359,301.10799570080235
7500000,-863302.6022449359,298.2168650959043
7600000,-861397.6022449359,300.41052872968316
7700000,-862947.3522449359,299.85117923152626
7800000,-863550.3522449359,301.4764003499108
7900000,-863198.3522449359,298.53125498401613
8000000,-863420.6022449359,297.8547466053965
8100000,-861368.3522449359,302.4274802992848
8200000,-862776.1022449359,300.19387734066225
8300000,-861986.6022449359,299.0668400621264
8400000,-861131.6022449359,299.812898700543
8500000,-860466.1022449359,301.20489361722684
8600000,-862476.1022449359,300.61864774884066
8700000,-861976.3522449359,299.80438710848387
8800000,-862897.1022449359,299.8928094667328
8900000,-861192.6022449359,301.36887781423144
9000000,-862324.3522449359,299.7176920330499
9100000,-864316.3522449359,299.8342917352594
9200000,-861483.1022449359,301.0906290232807
9300000,-861892.3522449359,299.4892680497895
9400000,-862480.3522449359,300.1644729905415
9500000,-864145.8522449359,297.37394019450807
9600000,-862620.3522449359,298.75945867544107
9700000,-862551.3522449359,299.99726140816307
9800000,-862173.6022449359,301.29751404409205
9900000,-862352.1022449359,300.2411663271767
10000000,-863176.1022449359,301.4729958555933
10100000,-861912.3522449359,301.4639255763406
10200000,-862075.8522449359,299.3370909382631
10300000,-862316.8522449359,299.62810036458836
10400000,-861695.6022449359,301.56196395094383
10500000,-862642.6022449359,301.6872033910521
10600000,-863032.6022449359,298.7367484510211
10700000,-862369.8522449359,302.28094733762754
10800000,-863467.1022449359,298.0240434634001
10900000,-863566.8522449359,300.12173875948497
11000000,-862859.1022449359,299.52593822681945
11100000,-862807.6022449359,300.4684887125802
11200000,-864004.3522449359,300.27948568172945
11300000,-862626.6022449359,298.941072215512
11400000,-862721.6022449359,301.2732460702531
11500000,-863127.6022449359,300.2242643348639
11600000,-862935.3522449359,299.90919441322984
11700000,-863773.1022449359,299.9827955390061
11800000,-863567.1022449359,298.5288436875251
11900000,-863488.3522449359,298.88374726541207
12000000,-863557.1022449359,300.7306201518918
12100000,-861970.3522449359,299.8268886923524
12200000,-861691.1022449359,301.60119607495477
12300000,-862562.6022449359,300.8661787676194
